period,direction,usd_notional_in,median,p90,n
UniV2 pre,ETH->IXS,1000.0,0.187110940067508,0.25138548046703874,800
UniV4 post,ETH->IXS,1000.0,0.15290789404262195,0.2036400101997345,1386
UniV2 pre,ETH->IXS,5000.0,0.9285838598548485,1.244377012990891,800
UniV4 post,ETH->IXS,5000.0,0.7545793164398118,0.9994810122672484,1386
UniV2 pre,ETH->IXS,10000.0,1.8400300844157167,2.458074262118515,800
UniV4 post,ETH->IXS,10000.0,1.465634653704436,1.9458819049066767,1386
UniV2 pre,ETH->IXS,50000.0,8.56766267553136,11.187111099428941,800
UniV4 post,ETH->IXS,50000.0,5.541821180245369,7.593487368938275,1386
UniV2 pre,IXS->ETH,1000.0,0.1871109400674936,0.25138548046705134,800
UniV4 post,IXS->ETH,1000.0,0.1533911736057661,0.2225828772811973,1386
UniV2 pre,IXS->ETH,5000.0,0.9285838598548382,1.244377012990876,800
UniV4 post,IXS->ETH,5000.0,0.7674642758231323,1.1436026623604771,1386
UniV2 pre,IXS->ETH,10000.0,1.8400300844157258,2.4580742621185165,800
UniV4 post,IXS->ETH,10000.0,1.5391962422370382,2.419768395990886,1386
UniV2 pre,IXS->ETH,50000.0,8.567662675531352,11.187111099428918,800
UniV4 post,IXS->ETH,50000.0,7.902430236413417,13.125756246995447,1386
