period,block_number,timestamp,datetime_utc,direction,usd_notional_in,eth_usd,amount_in,amount_in_unit,amount_out,amount_out_unit,spot_price,spot_price_unit,avg_exec_price,avg_exec_price_unit,gross_slippage_pct,slippage_excl_fees_pct_raw,fee_rate,fee_uint24,tick_spacing,hooks,gas_estimate
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,ETH->IXS,1000.0,3332.6782697973877,0.3000589673064348,ETH,5367.707806350092,IXS,18048.60226248322,IXS_per_ETH,17888.843164844755,IXS_per_ETH,0.8851604978328259,0.18516049783282593,0.007,7000,50,0x0000000000000000000000000000000000000000,73657
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,ETH->IXS,5000.0,3332.6782697973877,1.5002948365321738,ETH,26686.376554710612,IXS,18048.60226248322,IXS_per_ETH,17787.42144870291,IXS_per_ETH,1.4470971767338219,0.7470971767338218,0.007,7000,50,0x0000000000000000000000000000000000000000,73593
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,ETH->IXS,10000.0,3332.6782697973877,3.0005896730643475,ETH,53000.61734049823,IXS,18048.60226248322,IXS_per_ETH,17663.40056965251,IXS_per_ETH,2.134246670344171,1.434246670344171,0.007,7000,50,0x0000000000000000000000000000000000000000,73689
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,ETH->IXS,50000.0,3332.6782697973877,15.002948365321739,ETH,251014.77937305064,IXS,18048.60226248322,IXS_per_ETH,16731.03001229103,IXS_per_ETH,7.300134553526987,6.600134553526987,0.007,7000,50,0x0000000000000000000000000000000000000000,73533
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,IXS->ETH,1000.0,3332.6782697973877,5415.644956205297,IXS,0.29725607044656166,ETH,5.540595251958391e-05,ETH_per_IXS,5.488839701464603e-05,ETH_per_IXS,0.9341153457382434,0.23411534573824333,0.007,7000,50,0x0000000000000000000000000000000000000000,53555
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,IXS->ETH,5000.0,3332.6782697973877,27078.224781026485,IXS,1.4723947906348926,ETH,5.540595251958391e-05,ETH_per_IXS,5.4375602630590056e-05,ETH_per_IXS,1.8596375337643747,1.1596375337643747,0.007,7000,50,0x0000000000000000000000000000000000000000,54532
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,IXS->ETH,10000.0,3332.6782697973877,54156.44956205297,IXS,2.910796961333627,ETH,5.540595251958391e-05,ETH_per_IXS,5.3747928176096704e-05,ETH_per_IXS,2.9925021917115453,2.292502191711545,0.007,7000,50,0x0000000000000000000000000000000000000000,54340
UniV4 post,23982726,1765374743,2025-12-10 13:52:23+00:00,IXS->ETH,50000.0,3332.6782697973877,270782.2478102649,IXS,13.32359744827173,ETH,5.540595251958391e-05,ETH_per_IXS,4.920410239598675e-05,ETH_per_IXS,11.193472617233752,10.493472617233753,0.007,7000,50,0x0000000000000000000000000000000000000000,54472
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,ETH->IXS,1000.0,3323.0775693837136,0.30092586739871274,ETH,5341.406778906204,IXS,17888.593175590235,IXS_per_ETH,17749.909055937318,IXS_per_ETH,0.775265658353487,0.07526565835348706,0.007,7000,50,0x0000000000000000000000000000000000000000,37643
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,ETH->IXS,5000.0,3323.0775693837136,1.5046293369935637,ETH,26626.30667756293,IXS,17888.593175590235,IXS_per_ETH,17696.25649514823,IXS_per_ETH,1.0751917635672628,0.37519176356726264,0.007,7000,50,0x0000000000000000000000000000000000000000,37607
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,ETH->IXS,10000.0,3323.0775693837136,3.0092586739871274,ETH,53052.1627234815,IXS,17888.593175590235,IXS_per_ETH,17629.645195369616,IXS_per_ETH,1.4475592221190625,0.7475592221190626,0.007,7000,50,0x0000000000000000000000000000000000000000,37675
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,ETH->IXS,50000.0,3323.0775693837136,15.046293369935638,ETH,257506.47703600305,IXS,17888.593175590235,IXS_per_ETH,17114.27995618728,IXS_per_ETH,4.328530543472454,3.628530543472454,0.007,7000,50,0x0000000000000000000000000000000000000000,37643
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,IXS->ETH,1000.0,3323.0775693837136,5383.140417907184,IXS,0.2985928909869205,ETH,5.590154520169555e-05,ETH_per_IXS,5.546815943972814e-05,ETH_per_IXS,0.7752661583928174,0.07526615839281749,0.007,7000,50,0x0000000000000000000000000000000000000000,36518
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,IXS->ETH,5000.0,3323.0775693837136,26915.702089535924,IXS,1.4884516788003281,ETH,5.590154520169555e-05,ETH_per_IXS,5.530049611371634e-05,ETH_per_IXS,1.0751922613419636,0.37519226134196354,0.007,7000,50,0x0000000000000000000000000000000000000000,36518
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,IXS->ETH,10000.0,3323.0775693837136,53831.40417907185,IXS,2.96197936448998,ETH,5.590154520169555e-05,ETH_per_IXS,5.502326030056476e-05,ETH_per_IXS,1.5711281288592216,0.8711281288592216,0.007,7000,50,0x0000000000000000000000000000000000000000,76189
UniV4 post,23983326,1765381991,2025-12-10 15:53:11+00:00,IXS->ETH,50000.0,3323.0775693837136,269157.0208953592,IXS,14.11527139855516,ETH,5.590154520169555e-05,ETH_per_IXS,5.244251608819368e-05,ETH_per_IXS,6.187716459395743,5.487716459395743,0.007,7000,50,0x0000000000000000000000000000000000000000,75993
