block_number,timestamp,datetime_utc,vault_owner,vault,module,poolKey_currency0,poolKey_currency1,poolKey_symbol0,poolKey_symbol1,fee_uint24,fee_rate,tick_spacing,hooks,vault_underlying0_raw,vault_underlying1_raw,vault_underlying0,vault_underlying1,underlying_mapping_mode,amt_eth,amt_ixs,eth_usd,spot_ixs_per_eth,spot_eth_per_ixs,ixs_usd,value_eth_usd,value_ixs_usd,value_total_usd,ixs_symbol,eth_symbol,hold_value_usd,full_range_lp_amt_ixs,full_range_lp_amt_eth,full_range_lp_value_usd,vault_value_index,hold_value_index,full_range_lp_value_index
23982726,1765374743,2025-12-10 13:52:23+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,1884670251480721853282054,70416557061068852745,1884670.251480721853282054,70.416557061068852745,u0_ixs_u1_eth,70.41655706106886,1884670.2514807219,3332.6782697973877,18048.60226248322,5.540595251958391e-05,0.18465021397944312,234675.72955137197,348004.7652166062,582680.4947679782,IXS,ETH,582680.4947679781,1547664.669258784,85.74983518118972,571553.2246941171,1.0,1.0,1.0
23983326,1765381991,2025-12-10 15:53:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3475289025817484355573565,132394724347238004687,3475289.025817484355573565,132.394724347238004687,u0_ixs_u1_eth,132.394724347238,3475289.025817484,3323.0775693837136,17888.593175590235,5.590154520169555e-05,0.18576517095364423,439957.93878304644,645587.6599943087,1085545.5987773552,IXS,ETH,584105.7727404302,1540789.0199775884,86.13248704655334,572449.8713992693,1.863020314777512,1.0024460711921028,1.0015687895132288
23983926,1765389371,2025-12-10 17:56:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3485273370387602306342997,131845279685361534978,3485273.370387602306342997,131.845279685361534978,u0_ixs_u1_eth,131.84527968536153,3485273.370387602,3371.2952265287263,17938.870072621918,5.574487110680331e-05,0.1879324178658251,444489.3620436042,654995.8514203156,1099485.2134639197,IXS,ETH,591585.6399291338,1542952.7378228134,86.01170149382202,579941.6773434717,1.8869435708530655,1.0152830672059852,1.0146765905377297
23984526,1765396607,2025-12-10 19:56:47+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3478657302754246523065301,132219674734581985041,3478657.302754246523065301,132.219674734581985041,u0_ixs_u1_eth,132.219674734582,3478657.3027542466,3389.237204212633,17905.070807351796,5.585010027379514e-05,0.18928923770695266,448123.84073933837,658472.3890820753,1106596.2298214138,IXS,ETH,595406.210215693,1541498.4863405095,86.09284503402088,583578.1468116328,1.8991475427061573,1.0218399544209598,1.0210390241852825
23985126,1765403867,2025-12-10 21:57:47+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3479670008672175212673397,132163321728136819777,3479670.008672175212673397,132.163321728136819777,u0_ixs_u1_eth,132.16332172813682,3479670.008672175,3350.435296367529,17910.19689337784,5.583411538986165e-05,0.18706859094364994,442804.6580031272,650936.965471182,1093741.6234743092,IXS,ETH,588488.7265639963,1541719.1302144083,86.0805238151484,576814.4506401578,1.8770863848974972,1.0099681246380678,1.009205137367314
23985726,1765411151,2025-12-10 23:59:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3507273807107214698299788,130633599111038768096,3507273.807107214698299788,130.633599111038768096,u0_ixs_u1_eth,130.63359911103876,3507273.807107215,3324.3366877254166,18067.262340592883,5.534872860916153e-05,0.18399780913439304,434270.06617444055,645330.6965421693,1079600.76271661,IXS,ETH,580863.5412746398,1548464.5118881722,85.70554202941622,569828.155419562,1.8528177490247104,0.9968817327683814,0.9969817871721776
23986326,1765418471,2025-12-11 02:01:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3514677189717948768009769,130225981348453906759,3514677.189717948768009769,130.225981348453906759,u0_ixs_u1_eth,130.2259813484539,3514677.189717949,3253.7928277198257,18130.330626937844,5.5156192160898107e-05,0.17946682245746673,423728.3640943751,630767.9472024193,1054496.3112967943,IXS,ETH,567356.6697313895,1551164.8082595936,85.55634423758882,556765.2384923899,1.8097333285829174,0.973701153249191,0.9741266682387429
23986926,1765425731,2025-12-11 04:02:11+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3548770851054911963126125,128372294530460631733,3548770.851054911963126125,128.372294530460631733,u0_ixs_u1_eth,128.37229453046064,3548770.851054912,3188.619877563555,18421.767975850027,5.428360629180367e-05,0.17308978604787925,409330.45006827,614255.9873420451,1023586.437410315,IXS,ETH,550748.8041541134,1563582.2629482213,84.87688396672868,541280.238723933,1.756685604892102,0.9451986278919808,0.9470338287630421
23987526,1765433015,2025-12-11 06:03:35+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3546475158202617497989071,128501150203017304865,3546475.158202617497989071,128.501150203017304865,u0_ixs_u1_eth,128.50115020301732,3546475.1582026174,3211.071931052644,18401.6778841703,5.434287059552495e-05,0.17449886642211623,412626.4365248886,618855.894900552,1031482.3314254406,IXS,ETH,554985.4523230358,1562729.438179898,84.92320363482762,545389.0309737256,1.7702365888121483,0.952469590635653,0.9542226470082572
23988126,1765440227,2025-12-11 08:03:47+00:00,0xe35AA548804D8973af16bC24d1083D454E81ba7B,0x90bdE935Ce7FEB6636aFD5A1A0340af45EEAe600,0xC56d93dD1D48f93814901cF685C3cD0eAc0E849D,0x0000000000000000000000000000000000000000,0x73d7c860998CA3c01Ce8c808F5577d94d545d1b4,ETH,IXS,7000,0.007,50,0x0000000000000000000000000000000000000000,3546973408202617497989071,128474172105182313196,3546973.408202617497989071,128.474172105182313196,u0_ixs_u1_eth,128.4741721051823,3546973.4082026174,3200.436074659427,18405.95801874013,5.43302336657426e-05,0.17388043976851872,411173.3750674293,616749.2960655127,1027922.6711329421,IXS,ETH,553070.9816176714,1562911.1689829316,84.9133290096416,543519.3627637636,1.7641274770013677,0.949183963739687,0.9509514412321677
